"","timestamp","value"
"1",2016-09-24 08:50:53,4379.872
"2",2016-09-24 08:50:54,4388.521
"3",2016-09-24 08:50:55,4393.466
"4",2016-09-24 08:50:56,4399.207
"5",2016-09-24 08:50:57,4404.943
"6",2016-09-24 08:50:58,4408.27
"7",2016-09-24 08:50:59,4412.526
"8",2016-09-24 08:51:00,4421.546
"9",2016-09-24 08:51:01,4426.497
"10",2016-09-24 08:51:02,4433.806
"11",2016-09-24 08:51:03,4434.913
"12",2016-09-24 08:51:04,4437.651
"13",2016-09-24 08:51:05,4443.752
"14",2016-09-24 08:51:06,4448.822
"15",2016-09-24 08:51:07,4450.353
"16",2016-09-24 08:51:08,4452.076
"17",2016-09-24 08:51:09,4446.797
"18",2016-09-24 08:51:10,4442.579
"19",2016-09-24 08:51:11,4434.11
"20",2016-09-24 08:51:12,4428.369
"21",2016-09-24 08:51:13,4427.017
"22",2016-09-24 08:51:14,4424.94
"23",2016-09-24 08:51:15,4415.829
"24",2016-09-24 08:51:16,4407.239
"25",2016-09-24 08:51:17,4410.57
"26",2016-09-24 08:51:18,4409.201
"27",2016-09-24 08:51:19,4407.15
"28",2016-09-24 08:51:20,4407.107
"29",2016-09-24 08:51:21,4405.021
"30",2016-09-24 08:51:22,4405.237
"31",2016-09-24 08:51:23,4404.903
"32",2016-09-24 08:51:24,4402.548
"33",2016-09-24 08:51:25,4407.275
"34",2016-09-24 08:51:26,4411.443
"35",2016-09-24 08:51:27,4410.981
"36",2016-09-24 08:51:28,4412.537
"37",2016-09-24 08:51:29,4417.18
"38",2016-09-24 08:51:30,4422.854
"39",2016-09-24 08:51:31,4430.413
"40",2016-09-24 08:51:32,4435.972
"41",2016-09-24 08:51:33,4438.952
"42",2016-09-24 08:51:34,4443.31
"43",2016-09-24 08:51:35,4444.607
"44",2016-09-24 08:51:36,4446.922
"45",2016-09-24 08:51:37,4449.702
"46",2016-09-24 08:51:38,4454.146
"47",2016-09-24 08:51:39,4454.734
"48",2016-09-24 08:51:40,4448.358
"49",2016-09-24 08:51:41,4448.462
"50",2016-09-24 08:51:42,4449.858
"51",2016-09-24 08:51:43,4450.005
"52",2016-09-24 08:51:44,4450.65
"53",2016-09-24 08:51:45,4447.863
"54",2016-09-24 08:51:46,4442.791
"55",2016-09-24 08:51:47,4441.077
"56",2016-09-24 08:51:48,4434.606
"57",2016-09-24 08:51:49,4434.647
"58",2016-09-24 08:51:50,4438.62
"59",2016-09-24 08:51:51,4437.803
"60",2016-09-24 08:51:52,4433.758
"61",2016-09-24 08:51:53,4434.492
"62",2016-09-24 08:51:54,4437.643
"63",2016-09-24 08:51:55,4440.349
"64",2016-09-24 08:51:56,4432.867
"65",2016-09-24 08:51:57,4433.369
"66",2016-09-24 08:51:58,4445.103
"67",2016-09-24 08:51:59,4445.592
"68",2016-09-24 08:52:00,4447.328
"69",2016-09-24 08:52:01,4452.437
"70",2016-09-24 08:52:02,4459.472
"71",2016-09-24 08:52:03,4463.68
"72",2016-09-24 08:52:04,4463.197
"73",2016-09-24 08:52:05,4463.341
"74",2016-09-24 08:52:06,4469.857
"75",2016-09-24 08:52:07,4473.55
"76",2016-09-24 08:52:08,4474.57
"77",2016-09-24 08:52:09,4475.052
"78",2016-09-24 08:52:10,4475.736
"79",2016-09-24 08:52:11,4473.011
"80",2016-09-24 08:52:12,4472.822
"81",2016-09-24 08:52:13,4475.757
"82",2016-09-24 08:52:14,4480.297
"83",2016-09-24 08:52:15,4483.113
"84",2016-09-24 08:52:16,4483.031
"85",2016-09-24 08:52:17,4483.44
"86",2016-09-24 08:52:18,4487.743
"87",2016-09-24 08:52:19,4491.24
"88",2016-09-24 08:52:20,4495.878
"89",2016-09-24 08:52:21,4500.381
"90",2016-09-24 08:52:22,4503.174
"91",2016-09-24 08:52:23,4501.809
"92",2016-09-24 08:52:24,4501.331
"93",2016-09-24 08:52:25,4501.304
"94",2016-09-24 08:52:26,4505.706
"95",2016-09-24 08:52:27,4510.462
"96",2016-09-24 08:52:28,4509.552
"97",2016-09-24 08:52:29,4503.436
"98",2016-09-24 08:52:30,4507.803
"99",2016-09-24 08:52:31,4512.047
"100",2016-09-24 08:52:32,4514.436
"101",2016-09-24 08:52:33,4516.312
"102",2016-09-24 08:52:34,4427.725
"103",2016-09-24 08:52:35,4247.544
"104",2016-09-24 08:52:36,4236.334
"105",2016-09-24 08:52:37,4260.394
"106",2016-09-24 08:52:38,4490.566
"107",2016-09-24 08:52:39,4524.817
"108",2016-09-24 08:52:40,4507.282
"109",2016-09-24 08:52:41,4507.382
"110",2016-09-24 08:52:42,4525.018
"111",2016-09-24 08:52:43,4527.208
"112",2016-09-24 08:52:44,4527.211
"113",2016-09-24 08:52:45,4525.414
"114",2016-09-24 08:52:46,4519.718
"115",2016-09-24 08:52:47,4513.103
"116",2016-09-24 08:52:48,4514.818
"117",2016-09-24 08:52:49,4514.223
